year,Achillea millefolium,Aconitum columbianum,Amelanchier pumila,Amerosedum lanceolatum,Androsace septentrionalis,Anticlea elegans,Arabis drummondii,Arenaria congesta,Campanula rotundifolia,Cardamine cordifolia,Castilleja sulphurea,Claytonia lanceolata,Collomia linearis,Delphinium barbeyi,Delphinium nuttallianum,Dodecatheon pulchellum,Draba aurea,Dugaldia hoopesii,Erigeron flagellaris,Erigeron speciosus,Eriogonum subalpinum,Eriogonum umbellatum,Erysimum asperum,Erythronium grandiflorum,Fragaria virginiana,Galium boreale,Geranium richardsonii,Helianthella quinquenervis,Heliomeris multiflora,Heterotheca villosa,Hydrophyllum capitatum,Hydrophyllum fendleri,Lathyrus leucanthus,Ligularia bigelovii,Ligusticum porteri,Linum lewisii,Lupinus sp,Mahonia repens,Maianthemum stellatum,Mertensia ciliata,Mertensia fusiformis,Noccaea montanum,Oligosporus dracunculus,Oreochrysum parryi,Pedicularis bracteosa,Potentilla gracilis v pulcherrima,Potentilla hippiana,Pseudocymopterus montanus,Pyrrocoma crocea,Ranunculus inamoenus,Salix monticola,Sedum rosea,Senecio integerrimus,Taraxacum officinale,Valeriana capitata,Valeriana edulis,Vicia americana,Viola praemorsa,Descarainia richardsonii,Gentiana parryi,Heracleum maximum,Lomatium dissectum,Paxistima myrsinites
1985,210.7777778,210.1490385,169.8461538,201.6666667,163.6855219,202.5411765,166,NA,217,183.9069767,202.0714286,NA,196.14,200.890785,166.6412429,179.5652174,177.4781145,208.575,228,202.375,187.5,179.6,188.5,154.1559633,167.7272727,220.75,206.5,NA,223,226.9728261,162.7675676,173.3,170.673913,NA,193.2307692,194,174.8461538,159.1012658,174,191.0022422,158.1557847,159.4631579,NA,218.9047619,181.1964286,202.0625,188.6666667,179.1666667,NA,163.2068966,NA,177.3846154,179.9090909,166.7777778,172.7209302,198.1842105,192.1818182,159.6074766,183.3333333,NA,204,164,153.5953307
1986,230,211.3968254,172.1758242,207.1538462,166.9546473,207.9469697,168.4285714,202.717608,221.6923077,187.6626506,206.0952381,152.3715213,203.8142077,208.3530612,171.1186441,180,180.5765306,218.5,207.5,220.3902439,194.2608696,182.2236842,190.8214286,154.5953757,171,225.5294118,202.4561404,205.5714286,226.25,219.5930556,165.71875,184.0454545,185.1851852,219.4347826,NA,203.7727273,189.2307692,155.5757576,177.3333333,188.9696663,161.1266094,161.4393939,223,222.0069444,187.6692308,204.4655172,207.1538462,178,216.3857143,166.25,NA,177.173913,180.5714286,168.5645161,174.35,201.8571429,194.1818182,162.703125,196.984375,246.4090909,NA,163,159.7193878
1987,210,204.3552632,168.4285714,195.1764706,158.5818713,196.0878378,162.6363636,189.3333333,211.6,182.0825688,195.5,136.7685115,195.8803419,194.104878,164.6632997,172,171.551263,211.6206897,182.5,198.5057471,183.4761905,179.3586957,168.9545455,142.1338028,166,206,194.56,194,236.2,216.0117647,156.4552846,NA,177.9107143,212.5,NA,192.25,178.1547619,150,173.25,180.9297297,153.5645439,151.5275,NA,219,179.25,191.924812,184.6315789,NA,208.2,158.5974026,NA,170.4516129,170.0454545,160.0549451,167.2222222,187.611399,192.4137931,155.254902,193.037037,225,NA,NA,155.1851852
1988,215.5,203.7065217,170.1630435,199.9137931,166.1168831,197.4588745,187.2631579,196.0916905,213,183.1007194,206.7142857,143.1056034,205.8837209,195.05,164.647619,175.5405405,174.3708087,209.8571429,189.1153846,209.9139073,189.75,181.4102564,187.0909091,146.28125,162,212.7826087,196.4897959,200.6,221.2857143,213.5375796,156.8571429,173.5714286,173.6136364,210.5789474,NA,192.9222222,184.7027027,153.7407407,176.375,188.1621622,153.4982857,152.4615385,218.2777778,213.6834532,179.3023256,197.125,201.537037,NA,205.125,157.7428571,NA,171.75,175.2142857,164.0740741,172.4117647,198.25,194,156.0571429,199.125,NA,NA,161.3333333,NA
1989,212,203.9148936,165.2753623,191.8461538,157.7244898,199.2756757,193.3333333,195.12,203.5,182.16,NA,139.0883571,219.8333333,195.3611111,162.2086331,178.9893617,173.6366906,203.425,180.6363636,221.6,184.1111111,177.8285714,181.55,145.8512397,161.3333333,217,202.5,NA,NA,209.1641221,153.8521739,NA,166.9027778,NA,187,190.6111111,186.968254,150.5536723,179,185.3396226,148.0275527,147.5555556,236.2142857,211.2293578,NA,192.6337209,193.6666667,180.8333333,202.5,152.8,NA,176.25,169.5384615,160.3565891,174.2129964,186.7643052,194.5,153.1818182,208.7335907,234.1333333,NA,162.875,NA
1991,230.5789474,206.462963,173.375,205.2804878,171.5821372,207.5452342,192.6730769,190.8571429,221.6,189.8614458,199.0769231,150.3914835,217.1818182,211.1733723,174.9395866,186.3333333,180.2961108,211.9230769,206.2,220.9953271,197.625,189.4576271,192.4590164,158.5,174.3,226,209.275,212.8333333,218,229.043131,169.3589744,184.625,184.8461538,222.0204918,202.025,205.6299213,194.6774194,165.862069,187.6052632,198.4566116,163.9380235,163.9329743,233.1578947,228.9230769,187.375,205.3508772,213.94,184.2,NA,168.5813953,NA,181.372549,184.05,173.703252,188.7758621,177,195.4736842,167.2236842,190.5454545,236.8,210.4285714,169,NA
1992,222.8461538,203.09375,166.7916667,200.0147059,158.8212928,199.9240331,186.8809524,NA,214,183.2679739,192.375,NA,198.980198,203.6452906,165.1590909,172.8333333,169.5338866,202.7333333,NA,208.8082192,188.6666667,176.6,177.5384615,140.25,160.1666667,218.7222222,196.5714286,195,219.4,215.1341463,149.44,180.0833333,169.8,214.256,191.9444444,196.8442623,184.254902,NA,172.2222222,191.4151515,148.8201856,149.2037534,223.6,214.4931507,NA,196.4659498,196.483871,175.25,NA,152.8846154,NA,173.7105263,173.7941176,NA,164.6206897,190,191.8214286,148.8484848,194,228.4318182,197.6,153.3333333,NA
1993,232.5,212.21875,181.1,207.5263158,175.7847358,210.5,184.3333333,NA,232.9285714,194.3301435,211.4642857,161.3370736,207.3529412,216.8597328,180.4438642,186.5,185.8551207,214.1875,NA,227.1715481,199.5,192.7352941,198.0531915,163.4571429,178.7826087,229.4,213.2045455,211.4166667,236.5,227.7297872,174.5204082,190.5,186.6159696,227.1025641,206.1111111,210.9382716,196.0722543,167.8333333,185,193.3574766,170.2178388,168.4785714,234.6,230.33,NA,210.5651163,206.4615385,190.9375,NA,173.7575758,NA,186.5,187.4146341,176.7017544,184.45,201.5,201.0416667,171.8857143,201.5,NA,207.1875,176,163.4642857
1994,207.7,204.05,165.6122449,189.8571429,161.8853659,193.7183099,176,257,215.0714286,177.8333333,185.3666667,NA,NA,192.3723608,163.057971,172.75,172.2405929,202.7837838,181.7142857,197.3333333,181.875,177.1666667,183.1904762,NA,162.7916667,198.6666667,188.1176471,193,234.5,199.359375,157.8255814,176.7272727,171.8961039,204.1666667,189.2,188.4642857,178.195283,156.2251908,NA,178.8535912,156.6234177,156.2841615,220.2727273,208.65,181,191.6647727,185.4615385,178,202.4666667,159.4333333,NA,173.5,170.963964,NA,168.9047619,187.4444444,183.1509434,158.9736842,183,NA,191.5333333,159.5,NA
1995,248.52,233.8461538,192.2019231,223.85,200.6826923,223.1278195,196.3333333,223.5600476,242.9047619,204.6,225.7,171.2498867,227.516129,227.4324324,193.5465995,202,204.5091211,233.5,212.5428571,238.3016393,219.8780488,213.1208791,217.7205882,173.4220779,195.0645161,245.75,220.5531915,227.3695652,254.4210526,238.9206349,186.9655172,201.1333333,211.2,235.4878049,218.25,229.3561644,208.6585859,186,NA,209.9830508,185.0053763,185.965625,248.96,242.2554745,NA,231.8302326,230,210.5,NA,198,187.7873684,NA,199.5945946,191.7037037,197.6296296,224.5,218.8823529,185.2190476,NA,261,223.9166667,182,177.0833333
